iter	Passed	Remaining
830	7529	10592
831	7540	10586
832	7550	10577
833	7557	10566
834	7565	10555
835	7574	10545
836	7581	10534
837	7598	10535
838	7606	10525
839	7615	10515
840	7623	10506
841	7631	10494
842	7638	10484
843	7646	10473
844	7654	10463
845	7662	10452
846	7671	10442
847	7679	10432
848	7687	10421
849	7695	10411
850	7703	10400
851	7711	10390
852	7719	10379
853	7727	10369
854	7735	10359
855	7743	10349
856	7751	10338
857	7759	10327
858	7771	10322
859	7781	10314
860	7789	10304
861	7798	10295
862	7805	10284
863	7815	10276
864	7823	10266
865	7831	10255
866	7840	10245
867	7848	10234
868	7856	10225
869	7864	10214
870	7872	10204
871	7880	10194
872	7888	10183
873	7896	10173
874	7904	10163
875	7912	10153
876	7920	10142
877	7928	10132
878	7936	10121
879	7955	10125
880	7963	10114
881	7971	10104
882	7979	10094
883	7988	10084
884	7996	10074
885	8004	10064
886	8012	10053
887	8019	10043
888	8027	10032
889	8035	10022
890	8043	10011
891	8051	10001
892	8060	9992
893	8068	9981
894	8076	9971
895	8084	9961
896	8092	9950
897	8100	9940
898	8108	9930
899	8117	9921
900	8128	9914
901	8144	9914
902	8152	9904
903	8160	9894
904	8168	9883
905	8176	9873
906	8185	9863
907	8193	9853
908	8200	9842
909	8209	9832
910	8216	9822
911	8224	9811
912	8233	9802
913	8241	9792
914	8249	9782
915	8257	9772
916	8265	9762
917	8274	9752
918	8281	9741
919	8290	9731
920	8303	9727
921	8313	9719
922	8321	9710
923	8330	9700
924	8338	9690
925	8346	9680
926	8354	9670
927	8362	9660
928	8370	9650
929	8378	9639
930	8386	9629
931	8394	9619
932	8402	9609
933	8410	9599
934	8418	9588
935	8426	9578
936	8434	9568
937	8442	9558
938	8450	9548
939	8459	9539
940	8485	9549
941	8494	9540
942	8503	9531
943	8511	9521
944	8519	9511
945	8527	9500
946	8535	9490
947	8543	9480
948	8551	9470
949	8558	9459
950	8566	9449
951	8574	9439
952	8582	9429
953	8590	9419
954	8598	9409
955	8606	9398
956	8613	9388
957	8622	9378
958	8630	9368
959	8638	9358
960	8646	9348
961	8659	9343
962	8673	9340
963	8682	9330
964	8690	9321
965	8698	9311
966	8706	9301
967	8715	9291
968	8722	9280
969	8730	9270
970	8738	9260
971	8746	9250
972	8753	9239
973	8761	9229
974	8769	9219
975	8777	9209
976	8785	9199
977	8793	9189
978	8801	9179
979	8809	9168
980	8817	9158
981	8825	9149
982	8844	9150
983	8856	9144
984	8864	9134
985	8872	9124
986	8880	9114
987	8888	9104
988	8897	9095
989	8905	9085
990	8913	9075
991	8921	9065
992	8930	9055
993	8938	9045
994	8945	9035
995	8953	9025
996	8962	9016
997	8970	9006
998	8978	8996
999	8986	8986
1000	8999	8981
1001	9009	8973
1002	9018	8964
1003	9026	8954
1004	9034	8944
1005	9043	8935
1006	9051	8925
1007	9058	8914
1008	9066	8905
1009	9075	8895
1010	9083	8886
1011	9091	8876
1012	9099	8866
1013	9111	8860
1014	9119	8849
1015	9127	8839
1016	9135	8829
1017	9143	8819
1018	9151	8810
1019	9159	8800
1020	9167	8790
1021	9180	8785
1022	9190	8777
1023	9198	8767
1024	9207	8758
1025	9216	8749
1026	9224	8739
1027	9231	8729
1028	9240	8719
1029	9247	8708
1030	9255	8698
1031	9263	8688
1032	9270	8678
1033	9278	8668
1034	9286	8658
1035	9294	8648
1036	9302	8639
1037	9310	8629
1038	9318	8619
1039	9327	8610
1040	9335	8600
1041	9343	8590
1042	9355	8584
1043	9366	8576
1044	9374	8567
1045	9383	8558
1046	9391	8548
1047	9399	8538
1048	9408	8529
1049	9422	8525
1050	9432	8517
1051	9441	8507
1052	9449	8498
1053	9457	8488
1054	9467	8480
1055	9475	8470
1056	9482	8460
1057	9491	8450
1058	9499	8440
1059	9507	8430
1060	9515	8421
1061	9527	8415
1062	9537	8407
1063	9545	8397
1064	9554	8387
1065	9562	8378
1066	9570	8368
1067	9578	8358
1068	9586	8348
1069	9593	8338
1070	9601	8328
1071	9610	8319
1072	9617	8309
1073	9625	8299
1074	9633	8289
1075	9641	8279
1076	9649	8269
1077	9657	8259
1078	9665	8249
1079	9672	8239
1080	9680	8229
1081	9688	8219
1082	9696	8209
1083	9714	8209
1084	9724	8201
1085	9733	8191
1086	9741	8181
1087	9749	8172
1088	9757	8162
1089	9766	8153
1090	9774	8143
1091	9782	8133
1092	9789	8123
1093	9798	8114
1094	9806	8104
1095	9814	8095
1096	9822	8085
1097	9830	8075
1098	9837	8065
1099	9845	8055
1100	9853	8045
1101	9861	8036
1102	9869	8026
1103	9878	8017
1104	9898	8017
1105	9909	8010
1106	9918	8000
1107	9927	7991
1108	9934	7981
1109	9942	7972
1110	9950	7962
1111	9958	7952
1112	9966	7942
1113	9974	7933
1114	9982	7923
1115	9989	7913
1116	9998	7903
1117	10006	7894
1118	10014	7884
1119	10022	7874
1120	10030	7865
1121	10038	7855
1122	10046	7845
1123	10054	7835
1124	10061	7825
1125	10073	7818
1126	10084	7811
1127	10097	7805
1128	10105	7796
1129	10114	7787
1130	10122	7777
1131	10130	7767
1132	10138	7758
1133	10146	7748
1134	10153	7738
1135	10161	7728
1136	10169	7718
1137	10177	7708
1138	10185	7699
1139	10192	7689
1140	10200	7679
1141	10208	7670
1142	10216	7660
1143	10224	7650
1144	10232	7640
1145	10246	7635
1146	10261	7631
1147	10270	7622
1148	10278	7612
1149	10286	7603
1150	10294	7593
1151	10302	7583
1152	10310	7574
1153	10318	7564
1154	10326	7554
1155	10334	7545
1156	10341	7535
1157	10350	7525
1158	10358	7516
1159	10369	7509
1160	10378	7500
1161	10389	7492
1162	10399	7484
1163	10409	7475
1164	10426	7473
1165	10434	7463
1166	10443	7454
1167	10451	7445
1168	10460	7436
1169	10468	7426
1170	10476	7416
1171	10484	7407
1172	10491	7397
1173	10499	7387
1174	10507	7377
1175	10515	7368
1176	10523	7358
1177	10531	7349
1178	10539	7339
1179	10547	7329
1180	10555	7319
1181	10563	7310
1182	10571	7300
1183	10579	7291
1184	10597	7288
1185	10605	7279
1186	10614	7269
1187	10622	7260
1188	10630	7250
1189	10638	7240
1190	10646	7231
1191	10654	7221
1192	10662	7212
1193	10669	7202
1194	10677	7192
1195	10685	7183
1196	10693	7173
1197	10701	7163
1198	10708	7154
1199	10716	7144
1200	10724	7134
1201	10731	7124
1202	10739	7115
1203	10747	7105
1204	10756	7096
1205	10774	7093
1206	10782	7084
1207	10791	7074
1208	10798	7065
1209	10806	7055
1210	10814	7046
1211	10822	7036
1212	10830	7026
1213	10838	7017
1214	10847	7008
1215	10854	6998
1216	10863	6989
1217	10871	6979
1218	10879	6970
1219	10887	6960
1220	10895	6951
1221	10903	6941
1222	10911	6932
1223	10919	6922
1224	10927	6913
1225	10939	6906
1226	10950	6898
1227	10959	6889
1228	10967	6880
1229	10975	6870
1230	10983	6861
1231	10991	6851
1232	10999	6842
1233	11007	6832
1234	11015	6823
1235	11023	6814
1236	11032	6804
1237	11040	6795
1238	11054	6789
1239	11062	6780
1240	11070	6770
1241	11078	6761
1242	11088	6752
1243	11096	6743
1244	11104	6733
1245	11119	6729
1246	11130	6721
1247	11138	6711
1248	11146	6702
1249	11155	6693
1250	11163	6684
1251	11171	6674
1252	11179	6665
1253	11187	6655
1254	11195	6645
1255	11202	6636
1256	11211	6626
1257	11219	6617
1258	11227	6607
1259	11234	6598
1260	11242	6588
1261	11250	6579
1262	11258	6569
1263	11266	6560
1264	11274	6550
1265	11282	6541
1266	11293	6533
1267	11308	6528
1268	11318	6519
1269	11326	6510
1270	11334	6501
1271	11343	6492
1272	11351	6482
1273	11363	6475
1274	11371	6466
1275	11379	6456
1276	11389	6448
1277	11397	6438
1278	11405	6429
1279	11413	6419
1280	11421	6410
1281	11428	6400
1282	11436	6391
1283	11444	6382
1284	11452	6372
1285	11460	6363
1286	11472	6355
1287	11482	6347
1288	11493	6339
1289	11501	6330
1290	11510	6321
1291	11517	6311
1292	11526	6302
1293	11534	6292
1294	11542	6283
1295	11550	6274
1296	11557	6264
1297	11565	6255
1298	11573	6245
1299	11581	6236
1300	11588	6226
1301	11596	6217
1302	11604	6207
1303	11612	6198
1304	11620	6188
1305	11628	6179
1306	11639	6171
1307	11652	6164
1308	11663	6156
1309	11671	6147
1310	11679	6138
1311	11689	6129
1312	11697	6120
1313	11704	6110
1314	11712	6101
1315	11720	6091
1316	11728	6082
1317	11736	6073
1318	11745	6064
1319	11752	6054
1320	11760	6044
1321	11768	6035
1322	11776	6026
1323	11784	6016
1324	11792	6007
1325	11800	5998
1326	11808	5988
1327	11826	5984
1328	11835	5975
1329	11843	5966
1330	11851	5957
1331	11859	5947
1332	11867	5938
1333	11875	5928
1334	11883	5919
1335	11891	5910
1336	11899	5901
1337	11908	5892
1338	11917	5882
1339	11924	5873
1340	11932	5863
1341	11939	5854
1342	11948	5845
1343	11955	5835
1344	11963	5826
1345	11971	5816
1346	11979	5807
1347	11987	5798
1348	12000	5791
1349	12015	5785
1350	12023	5776
1351	12031	5766
1352	12040	5757
1353	12048	5748
1354	12056	5738
1355	12064	5729
1356	12072	5720
1357	12080	5710
1358	12088	5701
1359	12096	5692
1360	12104	5682
1361	12112	5673
1362	12120	5664
1363	12128	5655
1364	12136	5645
1365	12144	5636
1366	12152	5627
1367	12160	5617
1368	12173	5611
1369	12185	5603
1370	12193	5594
1371	12201	5584
1372	12209	5575
1373	12217	5566
1374	12225	5556
1375	12233	5547
1376	12242	5538
1377	12253	5530
1378	12261	5521
1379	12269	5512
1380	12277	5502
1381	12285	5493
1382	12293	5484
1383	12301	5475
1384	12309	5466
1385	12317	5456
1386	12326	5447
1387	12335	5438
1388	12359	5436
1389	12367	5427
1390	12375	5418
1391	12383	5409
1392	12391	5399
1393	12400	5390
1394	12408	5381
1395	12415	5371
1396	12423	5362
1397	12431	5353
1398	12439	5343
1399	12447	5334
1400	12455	5325
1401	12463	5316
1402	12471	5306
1403	12479	5297
1404	12487	5288
1405	12494	5278
1406	12503	5269
1407	12511	5260
1408	12528	5254
1409	12538	5246
1410	12546	5237
1411	12555	5228
1412	12563	5219
1413	12571	5209
1414	12579	5200
1415	12587	5191
1416	12595	5182
1417	12603	5172
